START 	 ~ 	 0.31287128712871287
O 	 L 	 0.003861003861003861
O 	 ! 	 0.014492753623188406
O 	 X 	 0.05555555555555555
O 	 @ 	 0.0012919896640826874
V 	 O 	 0.27889207258834764
V 	 A 	 0.15501905972045743
V 	 V 	 0.155668358714044
V 	 P 	 0.2844509948415623
V 	 T 	 0.7570093457943925
V 	 D 	 0.3621197252208047
V 	 N 	 0.06954887218045112
V 	 R 	 0.2314165497896213
V 	 ! 	 0.024154589371980676
V 	 END 	 33.0
V 	 , 	 0.1002710027100271
V 	 ^ 	 0.08016443987667009
V 	 Z 	 0.19444444444444445
V 	 $ 	 0.11764705882352941
V 	 @ 	 0.025839793281653745
V 	 L 	 0.08108108108108109
V 	 G 	 0.0375
V 	 & 	 0.09236947791164658
V 	 E 	 0.03680981595092025
V 	 ~ 	 0.01782178217821782
V 	 U 	 0.01953125
V 	 # 	 0.011904761904761904
V 	 X 	 0.05555555555555555
V 	 S 	 0.0625
^ 	 , 	 0.13658536585365855
^ 	 ^ 	 0.2446043165467626
^ 	 V 	 0.05245346869712352
^ 	 P 	 0.0449521002210759
^ 	 N 	 0.05263157894736842
^ 	 U 	 0.078125
^ 	 ! 	 0.021739130434782608
^ 	 Z 	 0.2777777777777778
^ 	 R 	 0.025245441795231416
^ 	 ~ 	 0.007920792079207921
^ 	 E 	 0.03067484662576687
^ 	 A 	 0.016518424396442185
^ 	 & 	 0.10441767068273092
^ 	 END 	 20.0
^ 	 $ 	 0.11764705882352941
^ 	 O 	 0.007640878701050621
^ 	 T 	 0.018691588785046728
^ 	 D 	 0.001962708537782139
^ 	 S 	 0.125
^ 	 G 	 0.09375
^ 	 L 	 0.011583011583011582
^ 	 # 	 0.011904761904761904
^ 	 @ 	 0.0012919896640826874
, 	 $ 	 0.15384615384615385
, 	 END 	 409.0
, 	 O 	 0.13276026743075453
, 	 ! 	 0.26811594202898553
, 	 & 	 0.20481927710843373
, 	 R 	 0.11360448807854137
, 	 ^ 	 0.11613566289825282
, 	 V 	 0.08079526226734349
, 	 A 	 0.0724269377382465
, 	 N 	 0.05592105263157895
, 	 G 	 0.2
, 	 P 	 0.04200442151805453
, 	 D 	 0.06378802747791953
, 	 L 	 0.305019305019305
, 	 U 	 0.37890625
, 	 ~ 	 0.08514851485148515
, 	 , 	 0.026016260162601626
, 	 # 	 0.24404761904761904
, 	 Z 	 0.08333333333333333
, 	 E 	 0.2883435582822086
, 	 @ 	 0.031007751937984496
, 	 X 	 0.16666666666666666
, 	 Y 	 1.0
$ 	 R 	 0.0070126227208976155
$ 	 N 	 0.030545112781954886
$ 	 , 	 0.02710027100271003
$ 	 P 	 0.026529108327192335
$ 	 & 	 0.008032128514056224
$ 	 A 	 0.017789072426937738
$ 	 M 	 0.5
$ 	 G 	 0.0125
$ 	 END 	 12.0
$ 	 S 	 0.0625
$ 	 U 	 0.00390625
$ 	 ~ 	 0.0039603960396039604
$ 	 ^ 	 0.012332990750256937
$ 	 $ 	 0.01809954751131222
$ 	 ! 	 0.004830917874396135
$ 	 V 	 0.002961082910321489
$ 	 O 	 0.004775549188156638
R 	 A 	 0.15120711562897077
R 	 O 	 0.05253104106972302
R 	 P 	 0.05969049373618276
R 	 , 	 0.05853658536585366
R 	 V 	 0.07656514382402707
R 	 & 	 0.024096385542168676
R 	 R 	 0.08695652173913043
R 	 D 	 0.029440628066732092
R 	 U 	 0.01171875
R 	 E 	 0.049079754601226995
R 	 END 	 12.0
R 	 N 	 0.0037593984962406013
R 	 L 	 0.04247104247104247
R 	 ^ 	 0.010277492291880781
R 	 ! 	 0.012077294685990338
R 	 ~ 	 0.0039603960396039604
R 	 G 	 0.03125
R 	 $ 	 0.013574660633484163
R 	 @ 	 0.0012919896640826874
R 	 # 	 0.011904761904761904
R 	 Z 	 0.027777777777777776
A 	 END 	 27.0
A 	 , 	 0.06504065040650407
A 	 P 	 0.06927044952100221
A 	 N 	 0.17340225563909775
A 	 A 	 0.03176620076238882
A 	 ! 	 0.021739130434782608
A 	 O 	 0.010506208213944603
A 	 V 	 0.005922165820642978
A 	 ^ 	 0.02672147995889003
A 	 U 	 0.01171875
A 	 D 	 0.007850834151128557
A 	 & 	 0.10441767068273092
A 	 $ 	 0.07239819004524888
A 	 R 	 0.023842917251051893
A 	 T 	 0.009345794392523364
A 	 E 	 0.012269938650306749
A 	 L 	 0.023166023166023165
A 	 ~ 	 0.011881188118811881
A 	 G 	 0.025
A 	 @ 	 0.002583979328165375
A 	 # 	 0.005952380952380952
! 	 , 	 0.07317073170731707
! 	 R 	 0.012622720897615708
! 	 END 	 72.0
! 	 E 	 0.0736196319018405
! 	 P 	 0.009579955784819455
! 	 O 	 0.03629417382999045
! 	 ! 	 0.08454106280193237
! 	 A 	 0.010165184243964422
! 	 V 	 0.0071912013536379014
! 	 N 	 0.007048872180451127
! 	 L 	 0.04633204633204633
! 	 ^ 	 0.015416238437821172
! 	 # 	 0.011904761904761904
! 	 G 	 0.01875
! 	 ~ 	 0.009900990099009901
! 	 D 	 0.016683022571148183
! 	 @ 	 0.003875968992248062
! 	 U 	 0.01171875
P 	 O 	 0.166189111747851
P 	 V 	 0.08798646362098139
P 	 N 	 0.07894736842105263
P 	 $ 	 0.21266968325791855
P 	 , 	 0.01951219512195122
P 	 ^ 	 0.19424460431654678
P 	 D 	 0.32482826300294404
P 	 R 	 0.033660589060308554
P 	 U 	 0.0078125
P 	 Z 	 0.3055555555555556
P 	 G 	 0.05625
P 	 @ 	 0.046511627906976744
P 	 END 	 5.0
P 	 P 	 0.01989683124539425
P 	 A 	 0.05590851334180432
P 	 L 	 0.10038610038610038
P 	 S 	 0.125
P 	 ~ 	 0.009900990099009901
P 	 # 	 0.011904761904761904
P 	 ! 	 0.004830917874396135
P 	 X 	 0.3333333333333333
P 	 & 	 0.008032128514056224
P 	 E 	 0.006134969325153374
T 	 N 	 0.0037593984962406013
T 	 R 	 0.009817671809256662
T 	 , 	 0.012466124661246613
T 	 V 	 0.0025380710659898475
T 	 P 	 0.018422991893883568
T 	 ^ 	 0.006166495375128468
T 	 D 	 0.019627085377821395
T 	 E 	 0.006134969325153374
T 	 @ 	 0.0012919896640826874
T 	 & 	 0.004016064257028112
T 	 O 	 0.0028653295128939827
T 	 G 	 0.0125
T 	 A 	 0.0012706480304955528
T 	 END 	 3.0
N 	 & 	 0.2971887550200803
N 	 , 	 0.34363143631436316
N 	 V 	 0.09983079526226735
N 	 N 	 0.13862781954887218
N 	 END 	 79.0
N 	 ~ 	 0.02178217821782178
N 	 P 	 0.30950626381724394
N 	 A 	 0.03811944091486658
N 	 O 	 0.050620821394460364
N 	 U 	 0.140625
N 	 @ 	 0.025839793281653745
N 	 D 	 0.023552502453385672
N 	 G 	 0.16875
N 	 E 	 0.17791411042944785
N 	 ! 	 0.06038647342995169
N 	 R 	 0.10238429172510519
N 	 $ 	 0.058823529411764705
N 	 ^ 	 0.024665981500513873
N 	 T 	 0.056074766355140186
N 	 # 	 0.047619047619047616
N 	 L 	 0.03861003861003861
N 	 Z 	 0.027777777777777776
& 	 V 	 0.021996615905245348
& 	 R 	 0.02244039270687237
& 	 $ 	 0.03619909502262444
& 	 L 	 0.05405405405405406
& 	 N 	 0.019736842105263157
& 	 ! 	 0.007246376811594203
& 	 O 	 0.038204393505253106
& 	 P 	 0.0036845983787767134
& 	 A 	 0.0241423125794155
& 	 D 	 0.022571148184494603
& 	 ^ 	 0.019527235354573486
& 	 G 	 0.00625
& 	 @ 	 0.00516795865633075
& 	 U 	 0.00390625
& 	 , 	 0.001084010840108401
D 	 N 	 0.2800751879699248
D 	 P 	 0.009579955784819455
D 	 $ 	 0.06334841628959276
D 	 D 	 0.008832188420019628
D 	 V 	 0.012267343485617596
D 	 ^ 	 0.09249743062692703
D 	 ~ 	 0.005940594059405941
D 	 A 	 0.23761118170266837
D 	 R 	 0.02244039270687237
D 	 S 	 0.375
D 	 , 	 0.012466124661246613
D 	 O 	 0.0057306590257879654
D 	 END 	 4.0
D 	 @ 	 0.003875968992248062
D 	 G 	 0.04375
D 	 T 	 0.028037383177570093
D 	 # 	 0.005952380952380952
D 	 L 	 0.007722007722007722
D 	 U 	 0.0078125
D 	 & 	 0.004016064257028112
D 	 E 	 0.012269938650306749
D 	 Z 	 0.027777777777777776
D 	 ! 	 0.0024154589371980675
# 	 # 	 0.2976190476190476
# 	 $ 	 0.00904977375565611
# 	 ~ 	 0.009900990099009901
# 	 END 	 68.0
# 	 N 	 0.0014097744360902255
# 	 , 	 0.008130081300813009
# 	 G 	 0.025
# 	 U 	 0.015625
# 	 ^ 	 0.003083247687564234
# 	 V 	 0.0008460236886632825
# 	 E 	 0.012269938650306749
# 	 O 	 0.0019102196752626551
# 	 P 	 0.002210759027266028
# 	 ! 	 0.004830917874396135
# 	 D 	 0.0009813542688910696
# 	 R 	 0.001402524544179523
# 	 @ 	 0.0012919896640826874
G 	 N 	 0.005169172932330827
G 	 V 	 0.004653130287648054
G 	 , 	 0.00921409214092141
G 	 END 	 18.0
G 	 @ 	 0.006459948320413436
G 	 ^ 	 0.012332990750256937
G 	 ! 	 0.007246376811594203
G 	 U 	 0.05078125
G 	 A 	 0.008894536213468869
G 	 $ 	 0.02262443438914027
G 	 ~ 	 0.047524752475247525
G 	 G 	 0.10625
G 	 R 	 0.002805049088359046
G 	 O 	 0.0066857688634192934
G 	 P 	 0.002210759027266028
G 	 E 	 0.006134969325153374
G 	 D 	 0.003925417075564278
U 	 END 	 182.0
U 	 $ 	 0.00904977375565611
U 	 ~ 	 0.02178217821782178
U 	 , 	 0.005420054200542005
U 	 # 	 0.08928571428571429
U 	 @ 	 0.002583979328165375
U 	 V 	 0.002961082910321489
U 	 P 	 0.008106116433308769
U 	 ! 	 0.004830917874396135
U 	 & 	 0.01606425702811245
U 	 U 	 0.015625
U 	 G 	 0.0125
U 	 R 	 0.001402524544179523
U 	 O 	 0.0009551098376313276
U 	 ^ 	 0.0010277492291880781
U 	 A 	 0.0012706480304955528
L 	 N 	 0.004699248120300752
L 	 R 	 0.07152875175315568
L 	 V 	 0.038917089678511
L 	 D 	 0.02649656526005888
L 	 T 	 0.028037383177570093
L 	 A 	 0.05082592121982211
L 	 P 	 0.017686072218128224
L 	 $ 	 0.013574660633484163
L 	 O 	 0.004775549188156638
L 	 , 	 0.0005420054200542005
L 	 ^ 	 0.0020554984583761563
L 	 G 	 0.00625
E 	 END 	 92.0
E 	 ! 	 0.01932367149758454
E 	 , 	 0.003794037940379404
E 	 O 	 0.0066857688634192934
E 	 ~ 	 0.011881188118811881
E 	 E 	 0.11042944785276074
E 	 L 	 0.011583011583011582
E 	 U 	 0.01953125
E 	 R 	 0.004207573632538569
E 	 # 	 0.011904761904761904
E 	 N 	 0.0009398496240601503
E 	 V 	 0.0021150592216582064
E 	 P 	 0.0007369196757553427
E 	 G 	 0.0125
E 	 D 	 0.0009813542688910696
E 	 & 	 0.004016064257028112
X 	 V 	 0.0038071065989847717
X 	 D 	 0.007850834151128557
X 	 , 	 0.0005420054200542005
Z 	 N 	 0.007048872180451127
Z 	 A 	 0.010165184243964422
Z 	 , 	 0.0016260162601626016
Z 	 ^ 	 0.006166495375128468
Z 	 V 	 0.0012690355329949238
Z 	 G 	 0.00625
S 	 N 	 0.005639097744360902
S 	 A 	 0.0025412960609911056
S 	 ^ 	 0.0010277492291880781
S 	 , 	 0.0005420054200542005
M 	 A 	 0.0012706480304955528
M 	 V 	 0.00042301184433164127
Y 	 D 	 0.0009813542688910696
